Rk,Player,OPS+,PA,Season,Age,Team,Lg,G,PA_1,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+_2,TB,GIDP,HBP,SH,SF,IBB,Pos,Player-additional
182,Dan Brouthers,179,688,1892,34,BRO,NL,152,688,588,121,197,142,30,20,5,124,31,,84,30,0.335,0.432,0.48,0.911,179,282,,16,,,,*3,broutda01
183,Barry Bonds,178,697,1998,33,SFG,NL,156,697,552,120,167,79,44,7,37,122,28,12,130,92,0.303,0.438,0.609,1.047,178,336,15,8,1,6,29,*7/H,bondsba01
184,Albert Pujols,178,634,2006,26,STL,NL,143,634,535,119,177,94,33,1,49,137,7,2,92,50,0.331,0.431,0.671,1.102,178,359,20,4,0,3,28,*3/H,pujolal01
185,Mel Ott,178,654,1938,29,NYG,NL,150,654,527,116,164,99,23,6,36,116,2,4,118,47,0.311,0.442,0.583,1.024,178,307,8,5,2,,13,*59/H,ottme01
186,Frank Howard,178,702,1969,32,WSA,AL,161,702,592,111,175,108,17,2,48,111,1,0,102,96,0.296,0.402,0.574,0.976,178,340,29,5,0,3,19,*73/9H,howarfr01
187,Rogers Hornsby,178,712,1929,33,CHC,NL,156,712,602,156,229,135,47,8,39,149,2,0,87,65,0.38,0.459,0.679,1.139,178,409,,1,22,,5,*4,hornsro01
188,Miguel Cabrera,178,648,2010,27,DET,AL,150,648,548,111,180,96,45,1,38,126,3,3,89,95,0.328,0.42,0.622,1.042,178,341,17,3,0,8,32,*3/D,cabremi01
189,Bill Joyce,178,459,1894,26,WHS,NL,99,459,355,103,126,70,25,14,17,89,21,,87,33,0.355,0.496,0.648,1.143,178,230,,12,5,,,*5,joycebi01
190,Tris Speaker,178,668,1914,26,BOS,AL,158,668,571,101,193,125,46,18,4,90,42,29,77,25,0.338,0.423,0.503,0.926,178,287,,7,13,,,*8/13H,speaktr01
191,Johnny Mize,178,670,1939,26,STL,NL,153,670,564,104,197,111,44,14,28,108,0,2,92,49,0.349,0.444,0.626,1.07,178,353,9,4,10,,18,*3,mizejo01
192,Rod Carew,178,694,1977,31,MIN,AL,155,694,616,128,239,171,38,16,14,100,23,13,69,55,0.388,0.449,0.57,1.019,178,351,6,3,1,5,15,*3/H4D,carewro01
193,Frank Thomas,178,649,1996,28,CHW,AL,141,649,527,110,184,118,26,0,40,134,1,1,109,70,0.349,0.459,0.626,1.085,178,330,25,5,0,8,26,*3/H,thomafr04
194,Larry Walker,178,664,1997,30,COL,NL,153,664,568,143,208,109,46,4,49,130,33,8,78,90,0.366,0.452,0.72,1.172,178,409,15,14,0,4,14,*9/38HD,walkela01
195,Jeff Bagwell,178,719,1996,28,HOU,NL,162,719,568,111,179,98,48,2,31,120,21,7,135,114,0.315,0.451,0.57,1.021,178,324,15,10,0,6,20,*3,bagweje01
196,Steve Evans,177,584,1914,29,BTT,FL,145,584,514,93,179,111,41,15,12,96,18,,50,49,0.348,0.416,0.556,0.973,177,286,,10,6,,,*973/H8,evansst01
197,Joey Votto,177,475,2012,28,CIN,NL,111,475,374,59,126,68,44,0,14,56,5,3,94,85,0.337,0.474,0.567,1.041,177,212,8,5,0,2,18,*3/H,vottojo01
198,Hack Wilson,177,709,1930,30,CHC,NL,155,709,585,146,208,111,35,6,56,191,3,3,105,84,0.356,0.454,0.723,1.177,177,423,,1,18,,6,*8,wilsoha01
199,Frank Thomas,177,676,1993,25,CHW,AL,153,676,549,106,174,97,36,0,41,128,4,2,112,54,0.317,0.426,0.607,1.033,177,333,10,2,0,13,23,*3/D,thomafr04
200,Paul Goldschmidt,177,651,2022,34,STL,NL,151,651,561,106,178,102,41,0,35,115,7,0,79,141,0.317,0.404,0.578,0.981,177,324,7,5,0,4,1,*3D/H,goldspa01
